店舗名,店舗電話番号,担当電話番号,メールアドレス1,メールアドレス2,メールアドレス3,N_P,PayPay,楽天Pay,auPay,メルペイ,クラウド,dメル
有限会社カードック大曽根,527943971,,cardog@cocoa.plala.or.jp,,,,,,,,2020/03/24,
レコードライン国際株式会社,527666886,,mice51821@hotmail.com,,,,,,2020/03/24,,2020/03/24,
有限会社黒川鈑金工業所,527933016,,kuro-b@gaea.ocn.ne.jp,,,,,2020/03/24,,,2020/03/24,
インド料理siba,527266909,,sk4tify@gmail.com,,,,,,2021/01/20,,2020/03/24,
玉栄堂,522415493,,norizou.tomikawa@nifty.ne.jp,,,,,2020/03/24,2020/03/24,,2020/03/24,
woke,522288745,,info@woke-hair.com,,,,,2020/03/24,2020/03/24,,2020/03/24,
coupe,9076109139,,coupe.vintage@gmail.com,,,,,,2020/03/24,,2020/03/24,
松尾接骨院,523537055,,zenryounasimin54@yahoo.co.jp,,,,,2020/03/24,,,2020/03/24,
RISE　栄生店,524520302,,rise_at_sakou@yahoo.co.jp,,,,,,,,2020/03/25,
ナンカレーハウス,524527770,,suresh3san@gmail.com,,,,,2020/03/25,,,2020/03/25,
手相鑑定・方位学　龍生館　白鳥店,9029228351,,gogatujuuitiikuo@gmail.com,,,,,2020/03/25,2020/03/25,,2020/03/25,
手相鑑定・方位学　龍生館　大須店,9029228351,,gogatujuuitiikuo@gmail.com,,,,,2020/03/25,2020/03/25,,2020/03/25,
ViSE clothing,523232213,,info@vise22.com,,,,,2020/03/25,2020/03/25,,2020/03/25,
ル・テロワール,522538707,,193gengen@gmail.com,,,,,,2020/03/25,,2020/03/25,
Solution,9092667966,,jac31713@yahoo.co.jp,,,,,2020/03/25,,,2020/03/25,
株式会社UHD JAPAN,561831678,,uhdjapan@xj.commufa.jp,,,,,2020/03/25,,,2020/03/25,
ノムラモータース,527912709,,tomomisan178@gmail.com,,,,2020/03/26,2020/03/26,2021/05/10,,2020/03/26,
イケダエンジニアリング,561553666,,ikeda-engineer@mta.biglobe.ne.jp,,,,,,,,2020/03/26,
千鳥,522127582,,kamiyui_tatsuya@yahoo.co.jp,,,,,2020/03/26,,,2020/03/26,
Unwave,522655907,,unwave0429@gmail.com,,,,,2020/03/26,2020/03/26,,2020/03/26,
亜細亜坊,9010976000,,info@asiabow.com,,,,,2020/03/26,,,2020/03/26,
Sweet,522517796,,sweet.0221@gmail.com,,,,2020/03/27,2020/03/27,2020/03/27,,2020/03/27,
大須珈琲,522031151,,shop@osucafe.nagoya,,,,,2020/03/27,,,2020/03/27,
マリーズ・ショップ,522411222,,sy10964989@gmail.com,,,,,2020/03/27,,,2020/03/27,
Te'Da,522228337,,teda20190210@gmail.com,,,,,2020/03/27,2020/03/27,,2020/03/27,
ROYALQUEEN,523636477,,r00001r@yahoo.co.jp,,,,,,,,2020/03/27,
正直屋酒店,568822641,,umaky1954@kyj.biglobe.ne.jp,,,,,2020/03/27,,,2020/03/27,
TeAm6,568370227,,team6.frogman@gmail.com,,,,,2020/03/28,,,2020/03/28,
acks,529031560,,acks@mac.com,,,,,2020/03/28,,,2020/03/28,
カットサロンエース,522318065,,nakamuramasahito@gmail.com,,,,,2020/03/28,2020/03/28,,2020/03/28,
セイロン　カフェ＆バー,526848921,,neocaldera@gmail.com,,,,,2020/03/28,2020/03/28,,2020/03/28,
おにぎりカフェよってこ米！！,523692577,,sfc_ysuzuki_team1968@yahoo.co.jp,,,,2020/03/28,2020/03/28,2020/03/28,,2020/03/28,
くれえぷリン,523536339,,atsushi.ymg@gmail.com,,,,,2020/03/28,2020/03/28,,2020/03/28,2021/09/09
久田酒店,523611702,,kiki0117@ninus.ocn.ne.jp,,,,,2020/03/28,2020/03/28,,2020/03/28,
串けん,568892587,,seinaruna.0212@gmail.com,,,,,,2020/03/31,,2020/03/31,
富士メガネ,568510444,,honda@opt-fuji.com,,,,,,,,2020/03/31,
Super nova,8036817786,,deisukaihouse@yahoo.co.jp,,,,,2020/03/31,2020/03/31,,2020/03/31,
にしだ歯科,523815431,,n.d.clin@alpha.ocn.ne.jp,,,,,2020/03/31,2020/03/31,,2020/03/31,
海鮮料理　さい丸,527201224,,cuizhenggo@yahoo.co.jp,,,,,2020/03/31,2020/03/31,,2020/03/31,
ハンコ卸売センター　名古屋中店,523247160,,abc.kazu@krf.biglobe.ne.jp,,,,,2020/03/31,2020/03/31,,2020/03/31,
造り方ラボ,8022070982,,yuki.yamada@tsukurikatalabo.com,,,,2020/03/31,2020/03/31,2020/03/31,,2020/03/31,
Cafe Bar Komanechi,529639090,,komanechiboy@hotmail.com,,,,,2020/03/02,2020/03/02,,2020/03/02,
LOHVE hair,529613233,,lohve_1106@yahoo.co.jp,,,,,2020/03/02,2020/03/02,,2020/03/02,
旬鮮台所ひのゑ,522510307,,hne66.244@gmail.com,,,,,,,,2020/03/02,
Largrrr,528879330,,bvt-k@coast.ocn.ne.jp,,,,,2020/03/03,,,2020/03/03,
SEED,528357035,,nakamura@ski-seed.com,,,,,2020/03/03,,,2020/03/03,
カメダリラクゼーション,9060762783,,nelson@kamedarelax.com,,,,,2020/03/03,2020/03/03,,2020/03/03,
足心道,526846238,,mitian0420@icloud.com,,,,,2020/03/03,2020/03/03,,2020/03/03,
STIFF SLACK,522520874,,info@stiffslack.com,,,,,2020/03/04,2020/03/04,,2020/03/04,
友ん家,528875004,,tomonch4.11.6@gmail.com,,janehiro0901@gmail.com,,,,2020/03/04,,2020/03/04,
種から根っこと葉っぱ,522510471,,florist@hanajin.net,,,,,,2020/03/04,,2020/03/04,
恵photo studio,527414508,,sssphoto1959@yahoo.co.jp,,,,,2020/03/05,2020/03/05,,2020/03/05,
スポーツプラザトキワ,527333171,,tokiwa.sp@triton.ocn.ne.jp,,,,,2020/03/05,,,2020/03/05,
ヘアサロンBIGBERNきたむら,523214088,,kiriyuuki@yahoo.co.jp,,,,,2020/03/05,,,2020/03/05,
美容室　貴博,523325984,,kiriyuuki@yahoo.co.jp,,,,,2020/03/05,,,2020/03/05,
Game Cafe&Bar Bright,527349997,,info@bright-gamecafebar.com,,,,,2020/03/05,2020/03/05,,2020/03/05,
mogo kitchen ぺこっぱっ,523229555,,mogokitchen@gmail.com,,,,,,,,2020/03/05,
OTIS',522625038,,hagikiyo30@gmail.com,,,,,2020/03/05,2020/03/05,,2020/03/05,
MEMBERS モモ,529533219,,norigon.n@icloud.com,,,,,2020/03/05,2020/03/05,,2020/03/05,
LION MUSIC DEN,524396027,,lion-rec@wave.plala.or.jp,,,,,,,,2020/03/06,
中国整体とだ,528422705,,freefield2002@gmail.com,,,,,2020/03/06,,,2020/03/06,
エンジョイライフプランニング,528807277,,hiyakeboushi@shop.rakuten.co.jp,,,,,,2020/03/06,,2020/03/06,
レンタルピットバイクyaro,9073019206,,toyo_huka@yahoo.co.jp,,,,,2020/03/06,,,2020/03/06,
亀井時計舗,523214690,,turtle.8.513@gmail.com,,,,,2021/09/22,2020/03/06,,2020/03/06,
ヘアサロンオアシス,523213893,,oasis777@ca.wakwak.com,,,,2020/03/06,2020/03/06,2020/03/06,,2020/03/06,
めぐみ屋,526846024,,keijijeo@yahoo.co.jp,,,,,2020/03/06,,,2020/03/06,
Task Inn,529321102,,task.inn.plus9@gmail.com,,,,2020/03/06,2020/03/06,2020/03/06,,2020/03/06,
OPREA　栄店,522118189,,381345476@99.com,,,,,2020/03/06,2020/03/06,,2020/03/06,
覚王山キャンドル,8045498113,,kentarou.sarai@gmail.com,,,,,,,,2020/03/09,
カフェ&バーあらたると,528986612,,alatarto2010@yahoo.co.jp,,,,,2020/03/09,,,2020/03/09,
松楽,527325894,,koujimee732@outlook.com,,,,,,,,2020/03/09,
Re:sh,525262155,,takuma.s.12.30@gmail.com,,,,2020/03/09,2020/03/09,2020/03/09,,2020/03/09,
きもの処ひらのや,522416066,,kimonohiranoya@gmail.com,,,,,2020/03/09,2020/03/09,,2020/03/09,
お燗とvinめしくいぜ,529322322,,tabe-aruki@hotmail.co.jp,,,,,2020/03/09,2020/03/09,,2020/03/09,
酒肴つまみ,522641115,,tsumamidk1@icloud.com,,,,,2020/03/09,2020/03/09,,2020/03/09,
Hello Beauty,527619090,,info@hbintel.com,,,,,,2020/03/10,,2020/03/10,
ずいこう,522280425,,takeshi4917@outlook.jp,,,,2021/05/04,2020/03/11,2020/03/11,,2020/03/11,
串やき・一品ひでや,527620029,,hidehk1015@gmail.com,,,,,,2020/03/11,,2020/03/11,
ユーズスタイル施術院,522613377,,usstyle2012@gmail.com,,,,,2020/03/11,2020/03/11,,2020/03/11,
お酒とクリエ,522128837,,osaka.crea@gmail.com,,,,,2020/03/11,2020/03/11,,2020/03/11,
カードック神田,120723489,,shoji@smile.ocn.ne.jp,,,,2020/03/11,2020/03/11,2020/03/11,,2020/03/11,
インド料理ディア,524146579,,harkabahadurbasnet@yahoo.co.jp,,,,,,,,2020/03/12,
かっとはうすAZ,524140288,,masae550131@gmail.com,,,,,2020/03/12,2020/03/12,,2020/03/12,
Cross Line,523623363,,,,,,,2020/04/01,,,2020/04/01,
ヘアワークス　ヴィラージュ,525039256,,,,,,,,2019/10/19,,2020/04/01,
ペキン堂鍼灸院,9014791724,,,,,,,2020/04/01,2020/04/01,,2020/04/01,
宮宇,525315104,,,,,,,,2021/03/31,,2020/04/02,
B.S.R 北名古屋店,568235335,,,,,,,2020/04/02,,,2020/04/02,
凌雲堂印舗,587322423,,,,,,,,,,2020/04/02,
PRINTEMPS　WORKS,568542602,,,,,,,,,,2020/04/02,
カットショップBUN,587329092,,,,,,,,,,2020/04/02,
有限会社山田自動車,523023755,,,,,,2020/04/02,2020/04/02,2020/04/02,,2020/04/02,
Cafe Restaurant TABASSUM,7052597772,,,,,,,2020/04/03,2020/04/03,,2020/04/03,
三島モーター自転車商会,529819938,,,,,,,,,,2020/04/03,
Flower&Greenshop　マルヤス,525310506,,,,,,,,,,2020/04/03,
株式会社 メイショー,525215491,,,,,,,,,,2020/04/03,
RIDERZ CAFE 大須ショップ,7016410309,,,,,,,,2020/04/03,,2020/04/03,
ネイル貴婦人,9066404040,,,,,,,2020/04/03,2020/04/03,,2020/04/03,
クワヤマオート,587819758,,,,,,,2020/04/06,,,2020/04/06,
RSヤマダ,587665186,,,,,,,2020/04/06,2020/04/06,,2020/04/06,
整体堂 あした元気になあれ。,587371690,,,,,,,2020/04/06,,,2020/04/06,
ませ調剤薬局　金山店,523320300,,masep0420@gmail.com,,,,,,,,2020/04/09,
野村モータース商会,564315211,,nomuo130@yahoo.co.jp,,,,,,,,2020/04/09,
小林百貨店,564514906,,kobayasihasira@tempo.ocn.ne.jp,,,,,,,,2020/04/09,
加藤商店,568213636,,pixy.dixy1130@gmail.com,,,,,,,,2020/04/10,
ボン吉,529370039,,namokemo@gmail.com,,,,,,,,2020/04/10,
韓日亭,529361900,,kannichi1221@icloud.com,,,,2020/04/10,2020/04/10,2020/04/10,,2020/04/10,
理容 理髪館,522512358,,rihatsukan20161001@gmail.com,,,,2020/04/10,,2020/04/10,,2020/04/10,
Happy Smile Bridge 幸せの架け橋,524334593,,siawasenokakehashi_28@yahoo.co.jp,,,,,2020/04/10,2020/04/10,,2020/04/10,
ベトコンラーメン新京　記念橋店,523321882,,tonto1227@yahoo.co.jp,,,,,2020/04/11,2020/04/11,,2020/04/11,
KENTO car service,568731413,,kento-cs@gaea.ocn.ne.jp,,,,,,,,2020/04/11,
Auto Parts,587565563,,auto_parts1008@ybb.ne.jp,,,,,,,,2020/04/11,
ヘアーサロン トレサンパ,523221098,,kohei.tressympa@gmail.com,,,,,2020/04/11,,,,
トレサンパ オム,526846600,,kohei.tressympa@gmail.com,,,,2020/04/11,2020/04/11,,,,
居酒屋　双子のわらじ,9034228000,,thubohachi0519@icloud.com,,,,2020/04/11,2020/04/11,2020/04/11,,2020/04/11,
Bear's Paw,525097633,,bearspaw981025@ybb.ne.jp,,,,,2020/04/13,,,2020/04/13,
ウィル・プラス,529023657,,willplus2@outlook.jp,,,,,,2020/04/13,,2020/04/13,
SIETE　SIETE,568243708,,sietesietephilstore@gmail.com,,,,,,2020/04/13,,2020/04/13,
株式会社大橋塗料店,525038520,,gggt8ta9k@clook.ocn.ne.jp,,,,,2020/04/14,2020/04/14,,2020/04/14,
有限会社大塚モータース,525019478,,haru26grape@yahoo.co.jp,,,,,,,,,
BIANTE,6697040525,,biante@road.ocn.ne.jp,,,,,2020/04/14,2020/04/14,,2020/04/14,
リラクゼーションホットハンド　大須店,522659729,,puratyino@gmail.com,,,,,2020/04/13,2020/04/13,,2020/04/13,
リラクゼーションホットハンド　鶴舞店,522417878,,puratyino@gmail.com,,,,,2020/04/13,2020/04/13,,2020/04/13,
ボロン,528828872,,puratyino@gmail.com,,,,,2020/04/13,2020/04/13,,2020/04/13,
合資会社 不老園正光,523214031,,furouen3010@spice.ocn.ne.jp,,,,,2020/04/13,,,2020/04/13,
miyata,9070467341,,officemiyata052@gmail.com,,,,,2020/04/14,2020/04/14,,2020/04/14,
直進舎印刷所,522411993,,meishi@pnw.to,,speedmeishi@gmail.com,,,,2020/04/14,,2020/04/14,
おさかなひろば うおっ,524420007,,uochan.since1999.11.24@gmail.com,,,,,,,,2020/04/14,
J-Passion,524451322,,j-passion@re.commufa.jp,,,,,,,,2020/04/14,
EDGE（東須ケ口）,524017188,,worldedgelucky@gmail.com,,,,,,,,2020/04/14,
あけぼ乃モータース,527311758,,kaohina@yahoo.co.jp,,,,,2020/05/14,,,2020/05/14,
Space Labo,525023800,,hitomi.n@nagatomi-kentiku.co.jp,,,,,,2019/10/17,,2020/04/15,
ミスタータイヤマン比良,525086883,,yuya@hiratire.co.jp,,,,,2020/04/15,2020/04/15,,2020/04/15,
Pro Tire Shop HIRA,525022834,,yuya@hiratire.co.jp,,,,,2020/04/15,2020/04/15,,2020/04/15,
Chao Phraya,523311285,,seedisland.111@gmail.com,,,2018/11/24,,,,,,
むさし寿司,523218371,,masamami1008@yahoo.co.jp,,,,,,,,2020/04/14,
山由佛壇店,523213259,,tarachanyamada@yahoo.co.jp,,,,,,2019/08/10,,2020/04/15,
株式会社比良タイヤ工業所小牧店,568737480,,yuya@hiratire.co.jp,,,,,2020/04/16,2020/04/16,,2020/04/16,
鳥勝,587660379,,sugifuchi@torikatsu.jp,,,,,,,,2020/04/16,
わ,587551978,,biyoushitsu.wa@gmail.com,,,,,,,,2020/04/16,
PHOTO　STUDIO　Ⅰ番館,523040011,,photo-I@peace.ocn.ne.jp,,,,,,2020/04/16,,2020/04/16,
坂野生花店,523016472,,qqry4yutaka@chic.ocn.ne.jp,,,,,2020/10/21,2020/04/16,,,2020/07/17
パソコンサポートショップたのみま専科,586583345,,info@tanomimasenka.com,,,,,,,,,
パーマネント ゾノサンチ,586856722,,yattsu.o@gmail.com,,,,,2020/04/17,2020/04/17,,2020/04/17,
有限会社サカイオートブラザーズ,586713859,,sakai023@icloud.com,,,,,2020/04/17,,,2020/04/17,
カービートイズミ,586753775,,carbeat@w5.dion.ne.jp,,,,,,,,2020/04/17,
Raraカフェ,568487720,,mayumi.58.08.11@gmail.com,,,,,,,,2020/04/17,
街の中華定食屋　パンダ,587878082,,sunzhaoyinaichi@gmail.com,,,,,,,,2020/04/17,
衣料品旭屋,586450683,,dandeikazu@gmail.com,,,,,2020/04/17,2020/04/17,,2020/04/17,2020/11/04
SBS一宮,586462162,,sbs@abeam.ocn.ne.jp,,,,,,2020/04/17,,2020/04/17,
焼肉ホルモン　極,529307797,,kiwami.sinnsakae@icloud.com,,,,,,2020/04/17,,2020/04/17,
boutique ハイジ,586431123,,812madame@gmail.com,,,,,,,,2020/04/18,
REX　ネイデンキ,586445734,,rexnei@orihime.ne.jp,,,,,,,,2020/04/18,
CYCLE SHOP POPEYE,586450316,,cspopeye1982@blue.plala.or.jp,,,,,2020/04/18,,,2020/04/18,
hair make Diamond Lily,586559064,,laps0909@icloud.com,,,,2020/04/18,2020/04/18,,,2020/04/18,
GUCKYs,586753113,,guckys@owari.ne.jp,,,,,,,,,2020/08/09
岩倉まちおこしサムライブルー,8051182193,,toshi.1103.ryuu@gmail.com,,,,,,,,2020/04/18,
たて輪,586818227,,j.tatebayashi@gmail.com,,,,,,,,2020/04/18,
マルヒロヤ,586444321,,maruhiroya138@outlook.jp,,,,,,,,,
宝石時計のウサミ,587564618,,us116117@yahoo.co.jp,,,,,2020/04/19,,,,
気さくな男の店MEN'SホワイトSAWA,586728501,,menssawa@sf.commufa.jp,,,,,2020/04/18,2020/04/18,,2020/04/18,
BlanCheur,586438287,,blancheur0403@gmail.com,,,,,,2020/04/19,,2020/04/19,
hair make LIEN（新生店）,586430043,,bdnkx312@yahoo.co.jp,,,,,2020/04/19,2020/04/19,,2020/04/19,
TECHNICAL SPOT K'Z,586433355,,kz3355@nifty.com,,,,,,2020/04/19,,2020/04/19,
天空接骨院,586831155,,sora.bc831155@gmail.com,,,,,2020/04/19,,,2020/04/19,
NEPALI KITCHEN MACHHAPUCHHARE,524512177,,godokaishasakura@gmail.com,,,,,,2020/04/19,,2020/04/19,
パレットブルー,586236768,,palette1997@icloud.com,,,,,,2020/04/21,,2020/04/21,
シバデンキ,586454537,,jarman-s@orihime.ne.jp,,,,,2020/04/21,2020/04/21,,2020/04/21,
髪結い　心,587666667,,ease@m01.fitcall.net,,,,,2020/04/21,,,2020/04/21,
有限会社近藤モータース,587932930,,kon.kon@minos.ocn.ne.jp,,,,,,,,2020/04/21,
アダチボディー,568692251,,info@adachi-b.jp,,,,2020/04/21,,,,2020/04/21,
やまと印商,586454963,,yamato8241@yahoo.co.jp,,,,,2020/04/21,2020/04/21,,2020/04/21,
串の正,586455054,,kusimasa@icloud.com,,,,2020/04/21,2020/04/21,2020/04/21,,2020/04/21,
ヒライワカーテン,522410160,,info@hiraiwa-curtain.com,,,,,,,,2020/04/21,
PancakeHouseHoiHoi,522536467,,kato@webauto.co.jp,,,,,,,,2020/04/21,
津田時計店,587661760,,timeace@bear.odn.ne.jp,,,,,,2020/04/22,,2020/04/22,
CAR SALON KEI,587504447,,carsalonkei@yahoo.co.jp,,,,,,2020/04/22,,2020/04/22,
炭火焼 うま屋,586466557,,bakusannokaban@icloud.com,,,,,2020/04/22,2020/04/22,,2020/04/22,
Motoshi Motors,586778230,,m.moters@bk2.so-net.ne.jp,,,,,,,,2020/04/23,
有限会社サトウ自動車,586775705,,satoujidousya@wonder.ocn.ne.jp,,,,,,2020/04/23,,,2020/08/21
カーフィールド,587531919,,fwnx1992@mb.infoweb.ne.jp,,,,,,2020/04/23,,2020/04/23,
La Muno,586453748,,ko@nomhey.com,,,,,,2020/04/23,,2020/04/23,
カットハウス オギ,586443695,,kojoyuu621@gmail.com,,,,,,2020/04/23,,2020/04/23,
ニコー,529810170,,contact@niko758.com,,,,,,2020/04/24,,2020/04/24,
ITO NEW OFFICE,586513383,,asumi@ito-jimuki.jp,,,,,2020/04/24,2020/04/24,,2020/04/24,
服部ガラス店,586625322,,tadashi877@outlook.jp,,,,2020/04/24,2020/04/24,2020/04/24,,2020/04/24,
GIANT STORE,586820439,,ichinomiya@giant-store.jp,,,,,2020/04/24,2020/04/24,,2020/04/24,
SHINY,568585994,,shiny5@yk.commufa.jp,,,,,2020/04/24,,,2020/04/24,
Fan,8036519990,,inabanorihiro@gmail.com,,,,,2020/04/27,2021/07/09,,2020/04/27,2021/07/09
岩田自動車,586457327,,iwatajidousya@yahoo.co.jp,,,,,,2020/04/27,,2020/04/27,
ジュノス,527633337,,makaron1018@gmail.com,,,,,2020/04/27,,,2020/04/27,
カーショップキムラ,586512411,,kj2166@orihime.ne.jp,,,,,2020/04/27,,,2020/04/27,
Mind A,587371085,,longdaxbell@kje.biglobe.ne.jp,,,,,2020/04/28,2020/04/28,,2020/04/28,
PCS,586248699,,protect@pcs-jp.com,,,,,,2020/04/28,,2020/04/28,
有限会社カーフィールドヴィレッジ,586248721,,otoiawase@car-fieldvillage.com,,,,,2020/04/28,2020/04/28,,2020/04/28,
カレーナンハウス,586256751,,currynaanhouse@yahoo.co.jp,,,,,2020/04/28,2020/12/08,,2020/04/28,
有限会社ゴコー,586625139,,info@goco48.com,,,,,2020/04/28,,,2020/04/28,
福井畳店,586863626,,fukafuku2989@gmail.com,,,,,2020/04/28,2020/04/28,,,2020/08/17
矢野硝子店,586692860,,yano_garasu@yahoo.co.jp,,,,2020/04/29,2020/04/29,2020/04/29,,,2020/08/21
micco,586592215,,hair.micco@gmail.com,,,,,2020/04/29,2020/04/29,,2020/04/29,
東海物産有限会社,586862457,,diyuanzhengzi@gmail.com,,,,,,2020/04/29,,,2020/08/14
カー愛ランド,586813633,,hmr@jade.plala.or.jp,,,,,2020/04/29,2020/04/29,,2020/04/29,
株式会社トップ・ロード,586818083,,top.road-102@kdn.biglobe.ne.jp,,,,,2020/04/29,2020/04/29,,2020/04/29,
サクラヤ,586734882,,zuojiujianwenxiong@gmail.com,,,,,2020/04/30,2021/05/05,,2020/04/30,2021/05/05
auto service NAKAKITA,586629881,,nakakita@oak.ocn.ne.jp,,,,,2020/04/30,2020/04/30,,2020/04/30,
Colette,586615811,,sirocolette@icloud.com,,,,,2020/04/30,2020/04/30,,2020/04/30,
栗本モーター,586875030,,k6309@orihime.ocn.ne.jp,,,,,,2020/04/30,,2020/04/30,
T-GARAGE,586820563,,t.garage411@gmail.com,,,,,2020/04/30,2020/04/30,,2020/04/30,
K's LEGEND,586519291,,jzx110-mk2@hotmail.co.jp,,,,,2020/04/30,,,2020/04/30,
吾妻屋燃料部,586788876,,n6019nao@yahoo.co.jp,,,,,2020/04/30,,,2020/04/30,
チーズとお肉のお店　St.vino,566228865,,hiro.asa0921@gmail.com,,,,,2020/04/14,2020/08/18,,2020/04/14,
ひろさんラーメン,566291173,,hiromichi943@gmail.com,,,,,2020/04/14,2020/04/14,,2020/04/14,
コヲノ薬店,566212037,,syouji28kowono@gmail.com,,,,2020/04/14,2020/04/14,2020/04/14,,2020/04/14,
リカーホッチ,564551255,,hotchi0564551255@gmail.com,,,,,,,,2020/04/14,
リラクゼーションヘアサロンKi-la-ri,564838988,,ryuji@kilari.jp,,,,,,,,2020/04/14,
風来坊　東岡崎駅前店,564655227,,fdcyq572@ybb.ne.jp,,,,,,,,2020/04/14,
あいち補聴器センター,564244733,,amano@aichi-hochoki.com,,,,,,,,2020/04/14,
織,564478077,,kozou19741003@gmail.com,,,,2020/04/14,2020/10/15,2020/10/15,,2020/04/14,
とり福,9090409064,,h.i.k.o.chan@icloud.com,,,,,2020/04/14,2020/04/14,,2020/04/14,
PACHIRA,752028117,,kawai@hairstudio-pachira.com,,,,,2020/04/14,2020/04/14,,2020/04/14,
LAMPADAIRE,753512509,,masaru@lampadaire.me,,,,,2020/04/14,2020/04/14,,2020/04/14,
Y's BURGER,752548810,,imoimo.nobunaga@gmail.com,,,,,,2020/04/14,,2020/04/14,
Palm（中道店）,564733344,,tonotohimegimi@yahoo.co.jp,,,,,2020/04/15,2020/04/15,,2020/04/15,
台湾料理　長楽鮮,566759538,,Yoshi12199123@gmail.com,,,,,,2020/08/31,,,2020/08/31
LEGALITA,566915735,,1980guma86@gmail.com,,,,,,2020/04/15,,2020/04/15,
株式会社ウヌマドライ,583840241,,unumadry0103@gmail.com,,,,,,2020/04/15,,2020/04/15,
有限会社大竹商店,583840054,,ot1_info@eagle.ocn.ne.jp,,,,,,2020/04/15,,2020/04/15,
美顔教室　やすらぎ,583793145,,rana_hjp_yasuragi@yahoo.co.jp,,,,,2020/04/15,2020/04/15,,2020/04/15,
ニュージョイス　YOU&ME,564710007,,you_me0007@m5.catvmics.ne.jp,,,,,2020/04/15,,,2020/04/15,
ダイビングスクール　わっしょいダイバーズ,564770463,,mikawa@washoi.info,,,,,,,,2020/04/15,
海鮮屋　勇らく,564212250,,hiroki43patriot@gmail.com,,,,,2020/04/15,2020/04/15,,2020/04/15,
有限会社　浜石,564240830,,fumi03281234@gmail.com,,,,,2020/04/15,,,2020/04/15,
ビジネス　山田旅館,564212777,,info@yamada-ryokan.com,,,,,,,,2020/04/15,
整体院　グッドラック,564251009,,bata@kd5.so-net.ne.jp,,,,,2020/04/15,2020/04/15,,2020/04/15,
酒彩　らく,542516665,,sy09034534979@gmail.com,,,,,2020/04/15,2020/04/15,,2020/04/15,
汐のや,8026130219,,black_1989_07_24@yahoo.co.jp,,,,,2020/04/15,2020/04/15,,2020/04/15,
LODGE,542515118,,LODGESHIZUOKA@gmail.com,,,,,,2020/04/15,,2020/04/15,
馬鹿と正直者,542708039,,bakashonami@icloud.com,,,,,,2020/04/15,,2020/04/15,
有限会社眞鍋米穀,583891511,,kiryou@nifty.com,,,,,,2020/04/15,,2020/04/15,
湯麺戸塚　各務原店,8091160072,,nkluir3013@yahoo.co.jp,,,,,2020/04/15,2020/04/15,,2020/04/15,
スナック和,583839141,,black.miyoko0608@gmail.com,,,,2020/04/15,2020/04/15,2020/04/15,,2020/04/15,
オートギャラリー宮川,583892538,,ag.miyagawa@gmail.com,,,,,,2020/04/15,,2020/04/15,
タカギデンキ,583820814,,soharatakagitenki@yahoo.co.jp,,,,,2020/04/15,,,2020/04/15,
喫茶　まを,9076171713,,midoritori2743@iclud.com,,,,,2020/04/14,2020/04/14,,2020/04/14,
butterfly,8051190872,,butterfly.2012@me.com,,,,,2020/04/14,2020/04/14,,2020/04/14,
ヒラノヤ,594231298,,hoshikawa@plum.ocn.ne.jp,,,,,,2020/04/14,,2020/04/14,
リラクゼーション整体　肩幸堂,594885662,,kenkodo-marukyu@cream.plala.or.jp,,,,,,2020/08/20,,2020/04/14,
はんこ村　桑名中央店,594271485,,hankomura_kchuoten@ybb.ne.jp,,,,,2020/10/21,2020/04/14,,2020/04/14,
LILY,594211441,,lily-seiji@pop16.odn.ne.jp,,,,,,2020/04/14,,2020/04/14,
はんこ家本舗　桑名店,594271011,,hankoya-honpo@ta3.so-net.ne.jp,,,,,2020/04/14,,,2020/04/14,
AO DAI合同会社,594288649,,tamlehl92@cimail.com,,,,,2020/04/14,2020/04/14,,2020/04/14,
タマケイ,564511313,,tamakei51-1313@train.ocn.ne.jp,,,,,2020/04/15,2020/04/15,,2020/04/15,2020/09/29
韓国料理　韓サラン,564726055,,beoku348@gmail.com,,,,,2020/04/15,,,2020/04/15,
BT　studio,564515192,,info@btstudio.jp,,,,,,2020/08/05,,,2020/08/05
味鶏屋,564712733,,midoriya7@gmail.com,,,,,,2020/04/16,,2020/04/16,
Esthetic Salon AKIKO,566287795,,info@e-akilo.com,,,,,,2020/04/16,,2020/04/16,
呑楽家　克,566851801,,advance_2854@yahoo.co.jp,,,,,2020/04/16,,,2020/04/16,
salon de Label,562577558,,salon.de.label@icloud.com,,,,,2020/04/15,2020/04/15,,2020/04/15,
とみたや,562478198,,tomitaya@kimono-tomitaya.com,,,,,2020/04/14,2020/04/14,,2020/04/14,
らーめん吉左右,562483364,,sunline00001@gmail.com,,,,,,,,2020/04/14,
えん整体院,562574877,,ogata_m_303@yahoo.co.jp,,,,2020/04/14,2020/04/14,2020/04/14,,2020/04/14,
Osteriakei　オステリア・ケイ,562852188,,ciocolatoticcante123@gmail.com,,,,,2020/04/14,2020/04/14,,2020/04/14,
マルサン本店,753430236,,k-marusan@nike.ne.jp,,,,2020/05/27,,2020/04/17,,2020/04/17,
京都あざらし堂,752215829,,azarashi.photo@gmail.com,,,,,,2020/04/17,,2020/04/17,
小野接骨院,566726416,,shotashota09240924@gmail.com,,,,,2020/10/23,2020/04/17,,2020/04/17,
l'utubo,757440704,,lutubonovolts@gmail.com,,,,,2020/04/17,2020/04/17,,2020/04/17,
ケイ・カーサービス,582143908,,kcs-nsx@nifty.com,,,,,2020/04/17,2021/05/25,,2020/04/17,2021/05/25
